gene,module,n
CRHBP,grey,1238
UGT1A7,grey,1238
CLVS1,grey,1238
GDF10,brown,642
SPINT2,turquoise,1278
ADH1A,blue,703
GAGE1,red,166
SEC14L3,blue,703
BTNL3,grey,1238
NR1I3,blue,703
HOXB13,yellow,513
STEAP2,grey,1238
MAB21L2,turquoise,1278
SPDEF,grey,1238
KLK4,black,147
ROBO2,grey,1238
NLRP11,grey,1238
ADRA2C,grey,1238
DIRAS1,turquoise,1278
MAPK13,turquoise,1278
LYZ,brown,642
NXF2,red,166
VWCE,grey,1238
SERPINA12,grey,1238
HOXC10,grey,1238
CEACAM7,turquoise,1278
LGSN,grey,1238
PPP1R3G,grey,1238
IDO2,blue,703
NRXN3,turquoise,1278
MYO1A,grey,1238
SERPINA4,blue,703
OLR1,brown,642
LHX9,grey,1238
ARHGEF4,turquoise,1278
CLDN19,grey,1238
BCAN,grey,1238
SCARA5,turquoise,1278
PLXNB3,turquoise,1278
KCNC2,grey,1238
BCO2,grey,1238
TBX15,grey,1238
RHOV,turquoise,1278
FBLN2,turquoise,1278
MGAM,brown,642
PLCXD3,turquoise,1278
PRELP,turquoise,1278
PRSS22,turquoise,1278
TRNP1,brown,642
PRODH2,blue,703
SPESP1,grey,1238
NSUN7,yellow,513
TMPRSS9,blue,703
CNTD2,grey,1238
PRAMEF9,blue,703
WNT3A,grey,1238
CES7,blue,703
C8orf80,blue,703
SRRM3,turquoise,1278
SHISA3,turquoise,1278
FUT6,grey,1238
DNAH11,green,313
SNORD116-4,green,313
MDGA2,red,166
IGF2BP3,yellow,513
MT1L,grey,1238
GPR35,turquoise,1278
ITPR3,turquoise,1278
SMPDL3B,yellow,513
A1BG,blue,703
LASS1,yellow,513
OAT,black,147
GFPT2,turquoise,1278
CYP26B1,turquoise,1278
ESR1,blue,703
HCN2,grey,1238
NAP1L2,red,166
LRP1B,grey,1238
TMEM105,grey,1238
UGT1A6,blue,703
RSPO2,black,147
MUC1,brown,642
RASGRF1,black,147
JPH1,turquoise,1278
TUB,turquoise,1278
TMEM45A,brown,642
CRISP3,grey,1238
ELN,turquoise,1278
OBSCN,turquoise,1278
MFI2,turquoise,1278
ZNF648,blue,703
