Hugo_Symbol,GATA2-High,GATA2-Low,pval,or,ci.up,ci.low,adjPval
XIRP2,16,13,0.566835052799579,1.26790998916532,2.96502296180229,0.551989528363739,0.833476553838395
CSMD3,13,17,0.56802769023577,0.756029610743701,1.71349410389861,0.326215613153895,0.833476553838395
ATR,7,5,0.572807419795539,1.43131320186349,5.83637134488194,0.382622550060903,0.833476553838395
CHL1,7,5,0.572807419795539,1.43131320186349,5.83637134488194,0.382622550060903,0.833476553838395
MYH15,7,5,0.572807419795539,1.43131320186349,5.83637134488194,0.382622550060903,0.833476553838395
DNAH17,5,8,0.573944074110939,0.622204763010886,2.20713591249119,0.156892636390895,0.833476553838395
GLI2,5,8,0.573944074110939,0.622204763010886,2.20713591249119,0.156892636390895,0.833476553838395
LPHN3,5,8,0.573944074110939,0.622204763010886,2.20713591249119,0.156892636390895,0.833476553838395
MUC4,5,8,0.573944074110939,0.622204763010886,2.20713591249119,0.156892636390895,0.833476553838395
MYH7,5,8,0.573944074110939,0.622204763010886,2.20713591249119,0.156892636390895,0.833476553838395
OTOGL,5,8,0.573944074110939,0.622204763010886,2.20713591249119,0.156892636390895,0.833476553838395
PTPN13,5,8,0.573944074110939,0.622204763010886,2.20713591249119,0.156892636390895,0.833476553838395
TDRD5,5,8,0.573944074110939,0.622204763010886,2.20713591249119,0.156892636390895,0.833476553838395
CACNA1B,8,6,0.598341370595941,1.36352116775296,4.87485805553429,0.40516943607946,0.860203056959736
EPHA4,8,6,0.598341370595941,1.36352116775296,4.87485805553429,0.40516943607946,0.860203056959736
POLQ,8,6,0.598341370595941,1.36352116775296,4.87485805553429,0.40516943607946,0.860203056959736
COL12A1,6,9,0.599428193327224,0.663547858691532,2.13982333917671,0.189998193225202,0.860203056959736
FBN1,6,9,0.599428193327224,0.663547858691532,2.13982333917671,0.189998193225202,0.860203056959736
MUC17,6,9,0.599428193327224,0.663547858691532,2.13982333917671,0.189998193225202,0.860203056959736
PCLO,18,22,0.615468707967994,0.80843730042489,1.64719266041421,0.392192884462797,0.881486617109366
FMN2,9,7,0.619547918039551,1.31513476767569,4.25667330455063,0.42486542414973,0.88558908284477
DNAH6,10,8,0.637510573371029,1.27887889814914,3.8269365167227,0.442281918527671,0.905602092805917
FREM2,10,8,0.637510573371029,1.27887889814914,3.8269365167227,0.442281918527671,0.905602092805917
HTT,10,8,0.637510573371029,1.27887889814914,3.8269365167227,0.442281918527671,0.905602092805917
HERC2,8,11,0.638517799317204,0.723648988417963,2.03155694857736,0.246104505698467,0.905602092805917
DMD,11,9,0.65296784971315,1.2507113742478,3.51045471783036,0.45783088865736,0.922424732877115
RYR1,13,11,0.678316982017127,1.20982112422391,3.07576949205556,0.484516370233267,0.922424732877115
SPTA1,13,11,0.678316982017127,1.20982112422391,3.07576949205556,0.484516370233267,0.922424732877115
APOB,18,16,0.721716474400767,1.15266509989902,2.50892105363874,0.533939927827293,0.922424732877115
C2CD3,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
CCDC80,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
CHD5,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
DBN1,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
DMXL2,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
DNAH3,3,5,0.723494681788018,0.600843578767998,3.14186804320554,0.0918886950998127,0.922424732877115
